exp	verb	pairNum	sent	target	bias	antecedent	gender	IC
ic_mismatch	dreaded	0	The woman dreaded the man because	he	-73	obj	m	obj
ic_mismatch	dreaded	0	The woman dreaded the man because	she	-73	subj	f	obj
ic_mismatch	dreamed about	0	The man dreamed about the woman because	he	30	subj	m	subj
ic_mismatch	dreamed about	0	The man dreamed about the woman because	she	30	obj	f	subj
ic_mismatch	dreamed about	0	The woman dreamed about the man because	he	30	obj	m	subj
ic_mismatch	dreamed about	0	The woman dreamed about the man because	she	30	subj	f	subj
ic_mismatch	echoed	0	The man echoed the woman because	he	72	subj	m	subj
ic_mismatch	echoed	0	The man echoed the woman because	she	72	obj	f	subj
ic_mismatch	echoed	0	The woman echoed the man because	he	72	obj	m	subj
ic_mismatch	echoed	0	The woman echoed the man because	she	72	subj	f	subj
ic_mismatch	embraced	0	The man embraced the woman because	he	29	subj	m	subj
ic_mismatch	embraced	0	The man embraced the woman because	she	29	obj	f	subj
ic_mismatch	embraced	0	The woman embraced the man because	he	29	obj	m	subj
ic_mismatch	embraced	0	The woman embraced the man because	she	29	subj	f	subj
ic_mismatch	employed	0	The man employed the woman because	he	-76	subj	m	obj
ic_mismatch	employed	0	The man employed the woman because	she	-76	obj	f	obj
ic_mismatch	employed	0	The woman employed the man because	he	-76	obj	m	obj
